I_eff,I_eff_err,I_dc,I_dc_err,I_ss,I_ss_err
0.402,0.010,2.590,0.010,51.6,0.1
0.800,0.010,2.590,0.010,101.0,0.1
1.205,0.010,2.590,0.010,152.0,0.1
1.604,0.010,2.540,0.010,203.0,0.1
