I_eff,I_eff_err,I_dc,I_dc_err,I_ss,I_ss_err
0.406,0.010,2.750,0.010,31.0,0.1
0.803,0.010,2.760,0.010,61.0,0.1
1.202,0.010,2.760,0.010,92.4,0.1
1.601,0.010,2.760,0.010,121.0,0.1
