I_eff,I_eff_err,I_dc,I_dc_err,I_ss,I_ss_err
0.405,0.010,2.050,0.010,127.0,0.1
0.800,0.010,2.050,0.010,248.0,0.1
1.202,0.010,2.050,0.010,372.0,0.1
1.601,0.010,2.050,0.010,492.0,0.1
