I_eff,I_eff_err,I_dc,I_dc_err,I_ss,I_ss_err
0.402,0.010,2.580,0.010,17.0,0.1
0.802,0.010,2.580,0.010,29.3,0.1
1.202,0.010,2.580,0.010,46.8,0.1
1.576,0.010,2.570,0.010,62.6,0.1
