I_eff,I_eff_err,I_dc,I_dc_err,I_ss,I_ss_err
0.405,0.010,2.940,0.010,42.0,0.1
0.800,0.010,2.950,0.010,82.4,0.1
1.201,0.010,2.960,0.010,125.0,0.1
1.607,0.010,2.970,0.010,162.0,0.1
