I_eff,I_eff_err,I_dc,I_dc_err,I_ss,I_ss_err
0.401,0.010,2.540,0.010,78.0,0.1
0.804,0.010,2.530,0.010,155.0,0.1
1.203,0.010,2.540,0.010,232.0,0.1
1.600,0.010,2.530,0.010,306.0,0.1
