I_eff,I_eff_err,I_dc,I_dc_err,I_ss,I_ss_err
0.401,0.010,2.640,0.010,104.0,0.1
0.801,0.010,2.640,0.010,207.0,0.1
1.204,0.010,2.640,0.010,307.0,0.1
1.603,0.010,2.640,0.010,410.0,0.1
